model,score_m,score_std,loss_m,loss_std,train_t_m,train_t_std,pred_t_m,pred_t_std,n_params,overall
"['ConvLSTM', 'D-CNN', 'D-CNN', 'CNN']",0.96120,0.00228,0.22688,0.01020,29.91222,3.55108,0.30601,0.04540,152552,3.30581
"['D-CNN', 'WAVENET', 'CNN']",0.96092,0.00232,0.21611,0.00962,15.65889,1.33670,0.25362,0.01273,107475,4.25295
"['ConvLSTM', 'D-CNN', 'WAVENET', 'CNN']",0.96081,0.00187,0.23403,0.00936,26.18889,1.97766,0.31352,0.03667,162644,3.10761
"['ConvLSTM', 'D-CNN', 'CNN']",0.96056,0.00205,0.21589,0.02262,20.81778,3.73791,0.26001,0.00888,148771,3.58910
"['ConvLSTM', 'D-CNN', 'WAVENET', 'D-CNN', 'CNN']",0.96053,0.00171,0.22347,0.01076,30.64889,9.07633,0.28753,0.10706,172469,2.91909
"['ConvLSTM', 'D-CNN', 'D-CNN']",0.96049,0.00242,0.25365,0.00877,22.85000,2.18403,0.25689,0.00682,68775,3.99458
"['D-CNN', 'WAVENET', 'D-CNN']",0.96044,0.00195,0.24375,0.01313,21.78667,1.08133,0.25934,0.01354,33523,4.20652
"['ConvLSTM', 'WAVENET', 'D-CNN']",0.96044,0.00202,0.22492,0.01013,31.74111,2.16014,0.25331,0.00701,84911,3.59831
"['ConvLSTM', 'WAVENET', 'D-CNN', 'CNN']",0.96041,0.00273,0.20148,0.00819,28.13556,3.50777,0.29880,0.05636,168688,2.88566
"['ConvLSTM', 'D-CNN', 'WAVENET']",0.96031,0.00197,0.26758,0.01071,17.97444,2.31000,0.26601,0.01158,78867,3.93865
"['ConvLSTM', 'D-CNN', 'WAVENET', 'D-CNN']",0.96031,0.00237,0.24706,0.01190,33.92556,2.95716,0.31336,0.04541,88692,3.03426
"['ConvLSTM', 'D-CNN']",0.96023,0.00266,0.26060,0.03198,19.43778,5.70851,0.17389,0.00992,64994,4.53694
"['D-CNN', 'D-CNN', 'CNN']",0.96019,0.00227,0.21129,0.01257,18.48222,2.27615,0.26107,0.00668,97383,3.77419
"['ConvLSTM', 'WAVENET', 'CNN']",0.96010,0.00168,0.20203,0.01248,24.66333,2.61730,0.25060,0.00613,158863,3.21080
"['ConvLSTM', 'WAVENET']",0.95993,0.00165,0.24549,0.01199,19.67889,3.29036,0.17171,0.00941,75086,4.32160
"['D-CNN', 'WAVENET']",0.95987,0.00191,0.26559,0.00744,7.38889,0.36416,0.17538,0.00925,23698,4.98716
['ConvLSTM'],0.95973,0.00191,0.27003,0.01246,14.44778,2.62347,0.08588,0.00703,55169,5.07567
"['WAVENET', 'D-CNN', 'CNN']",0.95971,0.00200,0.18040,0.00835,18.68889,1.02200,0.26616,0.02161,113519,3.37552
"['D-CNN', 'WAVENET', 'D-CNN', 'CNN']",0.95968,0.00227,0.21312,0.01045,21.04000,3.57591,0.27133,0.07184,117300,3.22166
"['D-CNN', 'D-CNN']",0.95948,0.00253,0.25256,0.01391,13.38556,0.70306,0.17252,0.00797,13606,4.65717
"['ConvLSTM', 'CNN']",0.95931,0.00195,0.19934,0.01050,13.45778,0.71590,0.17134,0.00944,138946,3.80152
"['D-CNN', 'CNN']",0.95922,0.00262,0.18380,0.03092,9.57722,3.09026,0.17375,0.01159,93602,4.14570
"['WAVENET', 'D-CNN']",0.95907,0.00247,0.20852,0.01477,14.38444,0.95414,0.17884,0.00888,29742,4.26009
"['WAVENET', 'CNN']",0.95904,0.00255,0.17354,0.00967,8.50889,0.38492,0.17293,0.01927,103694,4.02828
['D-CNN'],0.95721,0.00286,0.25259,0.05687,7.46833,4.48938,0.09152,0.00816,9825,4.18262
['WAVENET'],0.95682,0.00215,0.22373,0.02066,5.90222,1.24604,0.09361,0.00852,19917,3.94816
['CNN'],0.95567,0.00261,0.13487,0.02809,3.94333,0.50352,0.09163,0.00806,83777,3.00739
,,,,,,,,,,
